Equipment Description,Manufacturer,Model,Problem ,Work Done
Dental Chair ,Confident,Mookambika,The suction did not generate enough vaccum.,Inspected and ound the pipe and reservior to be clogged. Advised to clean the reservior
ENT workstation,NA,NA,The suction did not work properly ,Inspected and found that the suction tube expired and was brittle. Replaced with silicon tube
Analytical Balance,NA,NA,The device did not turn on,"Inspected and found out due to high power surge, the board component was damaged"
Suction Machine,St. Francis,ST-SU650,The device did not turn on,"Inspected and found out the device has faulty AC cord, Repalced it with another one."
Patient Monitor,Edan,iM70,EtCO2 and SPO2 faulty,Inpected and found out there was loose connection to the probe connector
Patient Monitor ,BPL,Excello Eco,Unable to use on battery. ,Inspected and found that battery is completely depleted. 
Patient Monitor ,Bionet ,BM3,Operator hesitated to use it as it was on store for quite long time. ,Inspected all the parameters are working properly 
Patient Monitor,Votem,VP-1200,The device performance was not good,Inspected and tested all the parameters to be working.
Patient Monitor,Bionet,BM3 Plus,The device was not in use as it was in store for a long time ,Inspected and tested all the parameters and found the device working perfectly
Patient Monitor ,Hwatime,H8,Unable to find spairs ,Inspected and found that all parameters are working properly 
ABG Machine,Abbot , I-Stat ,Printer doesn't turn on ,Inspected and found that power supply has been damaged. 
ECG Machine,Edan,SE-3,Lead 2 not showing on the printed ECG,Changed the layout of the device
Dental Chair,Confident,Mookambika,The airrotor flow did not stop and water leaked,Inspected and found out the spray control knob is faulty. The knob was replaced.
Autoclave ,NA,NA,The timer and temperature display was not showing,Inspected and found out the ribbon cable latch to be offset. Tightened it
Patient Monitor,GE Healthcare,B105,The select button was irresponsive,Inspected and found out the encoder cable was offset. Tightened it 
Patient Monitor,Hwatime,H8,The SPO2 did not show,The SPO2 probe connector was tightened
Slit Lamp,NA,Na,The Lamp did not glow,Upon Inspection it was found that the lamp was blown out.
CTG Machine,Bionet,FC-1400,Ultrasound graph was irregular and the sound for fetal heartbeat was low,"Upon inspection the pin was found to be misaligned.
Aligned the pins and the volume for fetal heartbeat was increased"
Oxygen Concentrator,Devilbliss,Drive,The flow meter non functional,"Inspected and found out the tubing inside the flowmeter was not connected
Connected and solved the issue"
Electro Surgical Unit,Mega Power ,MegaDyne,The Error 205 displays on the device,Inspected and found out the device foot switch board faulty.
Tourniquet,Diamond ,Dual Tourniquet,The device did not have battery backup and did not turn on,Inspected and found out the battery was drained and the battery management system was installed to the device
Microscope,Olympus,CX30,The device needs servicing,The device was serviced the lamp and lens was cleaned.
Centrifuge Machine,NA,NA,The device did not turn on,The internal wirings were rewired and serviced the device
Incubator,BD Bactec,BD,The door did not lock properly,The door latch was firmly fixed.
Dialysis Machine,Fresenius,4008A,The Error code 057 appeared,The filters were clogged and was cleaned thoroughly.
Nebulizer,Aerogen Pro,Aerogen,The device didn't nebuliser,Performed preoperational test and found the device to be working fine.
Immunoassay Analyzer,Beckman Coulter,Access2 ,RLU Flag & Sample Count outside limit error,"Inspected and found out the substrate to be contaminated, checked and decontaminated Substrate line"
Hematology Analyzer,Erba,Elite 850,Leakage from swab and probe,"Cleaned swab, valve 19 and pump, piercing probe was damaged"
Patient Monitor,Edan,X12,The power supply to the device was not proper,"Inspected and found out the peer supply wired were loose, tightened it"
Syringe Pump,Med captain,SYS-3001,The device turned off in between the medicine delivery,"Inspected and found out the AC cable to faulty.
Changed it "
Anesthesia Machine,GE Healthcare,9100c NXT,No Oxygen alarm beeps continuously,Inspected and found out that the oxygen sensor was expired. Replaced with new one.
Immunoassay Analyzer,Beckman Coulter,Access 2,RLU Flag & Sample Count Outside limit error,Decontaminated substarte line and verified volume check & substrate reading in system check
Irrigation Seath,,,Inflow and Outflow blocked,Cleaned the seath and damaged O-ring replaced
ABG Machine,Abbot ,PR-300,The printer shuts off  after receiving the print command. ,"Inspected the printer and found that the power adapter was faulty and unable to deliver the required power to the printer. Replaced the power adapter head with a new one, retaining the old barrel connector.
"
ICU Bed,Timotion,NA,Head motion not working,Found joint at head to be broken
ICU Bed,"Zhejiang Jiecang Linear Motion Technology Co., Ltd.",JCB35T,Head motion and leg motion not working. ,Found to be problem with the motor welding. Need to weld the motor on its own place. 
Timer,NA,NA,The device does not turn on,"Inspected and found out the battrey connector inside the timer came off loose, soldered it to the unit"
Anesthesia Machine,Penlon,Prima 350,The Anesthesia Ventilator was installed and demonstration was performed but few of the accessories are missing. ,Inspected and found out few accessories missing along with battrey for backup with respect to the Tender specification
Dialysis machine,WESLEY,W-[2008-B,Dialyzers Fluid and NS  flows through the drain. ,"It was found that there is a problem with the connection, or the connection might be loose at some connector, leading to bubble formation in the circuit of the dialysis machine."
ICU Bed,Timotion,TBB2,All the Remote controllers were faulty,Inspected and found out one of the five remote control was short. Dismantle one of the remote controller and other 3 are working.
Infusion pump,Kellymed,ZNB-XAIl,Peristatic motion not working. ,There was a problem with the motor: the connecting rod bearing was not moving. I loosened the bearing with WD-40 and lubricated it properly.
 Pulse Oximeter,,,Battery completely drained. ,Found that battery was completely depleted replaced the new rechargable battery. 
Electro Surgical Unit,,Mini-coag,The Fooswitch not working,"Inspected and found out the footswitch cable wire broken, soldered them and tested."
Suction Machine,St. Francis,High Vaccum,The Suction did not respond,"Inspected and Found out the device to be leaky, sealed the leak and the device works perfectly"
Suction Machine,St. Francis,ST-SU650,The machine did not turn on at times,"Inspected and found the capacitor to be faulty, replaced with another one"
ECG Machine,HRP,HC8,The Limb electrode keeps coming out.,"Inspected and found the Limb Lead electode connector loose, tightned it and solved the issue"
Distillation Plant,Smart,Q15,The water did not pass via output of the device,Resin Cartilage was changed along with RO Membrane and carbon filter and also perfomed the TDS test
Autoclave,NA,NA,The sterelization temperature did not meet ,Inspected and found out the temperature sensor loose and setting was changed to 121°C and 20minutes
Infant Radiant Warmer,Neotherm,D-20,The observation lamp did not glow,"Inspected and found out the observation lamp to be faulty, replaced it with new lamp"
Infant Radiant Warmer,Neotherm,IW 4100,The observation lamp did not glow,"Inspected and found out the observation lamp to be faulty, replaced it with new lamp"
Biosafety Cabinet,Vision,NA,Constant filter Alarm,"Inspected and found out the HEPA Filter has surpassed 3k working hours, and needs replacement"
OT Table,Jin Sol,NA,The side rails were loose and noisy,TIghtned the side rails and arm rest
Anesthesia Machine,Penlon,Prima 350,"The Oxygen sensor did not pass, Leak test did not pass, no battrey backup","Calibrated oxygen at 21% and 100%, leak test passed and battrey installed"
Microscope,Olympus,CX31,The 40X lens was scratched and not visible,Replaced with new 40x Lens
Ventilator,Drager,Savina 300,Not being used at Department,Tested and performed the Preoperational test for the device.
Ventilator,IMT Medical,Bella Vista,Not being used at the department,Tested and performed the Preoperational test for the device.
Ventilator,IMT Medical,Bella Vista,Not being used at the department,Tested and performed the Preoperational test for the device.
ECG Machine,Biolite,E70,ECG machine experiencing intermittent waveform display.,Inspected and identified as improper ECG cable connection to clips and suction balls. Cables reconnected securely and organized. Waveform stability restored. Equipment functioning optimally.
Hydrocollator,Meditek Electronics,,Hydrocollator experiencing leakage. ,"Inspected and identified, applied silicon sealant to affected area and tighten the screw and rod. "
BIPAP Machine,Hunan Beyond,Dreamy B19,Noisy Compressor,Serviced the blower unit and tested the device.
Suction Machine,St. Francis,High vaccum,The device was leaky,Inspected and sealed the leak from the canister
Endoscope Unit,FujiFilm,,"Equipment experiencing display issues with color distortion. Initial assessment indicated cable-related problem.
",Changed the cable.Output display restored to normal
Electro Surgical Unit,Covidien Valleylab,Force FX,wire probe cover dislodged from connector.,Stiched with the hot glue gun and covered with tape. Cover reattached securely. Equipment functionality restored
Patient Monitor,,,"Patient monitor was not displaying BP, SpO2, and Resp readings. ",The probes were tighten securely to the respective place and Monitor functionality verified as normal. User retrained on proper equipment operation.
Laryngoscope,,,Light malfunctioning.,Tighten the light bulb and Laryngoscope functionality restored.
ICU Bed,Timotion,TBB2,Main powersupply board not responding. ,Soldered the ruptured wires and restored the connectivity
 X-Ray Machine,AeroRad,NA,Bed's foot switch was not responding and Exposure Hand switch malfunctioning,inspected and verified the issue with bearing movement and performed general maintenance
Dental Chair,Confident,Mookambika,air turbin was not responding the movement.,perform general maintenance.restored to the normal functionality.
Dental Chair,Confident,Mookambika,The chair did not turn on.,Inspected and found out the mains cable was loose. Tightned the connections.
Dental Chair,Confident,Mookambika,Water container holder loose,Tightned the container holder
Patient Bed,NA,NA,The headside did not rise,"Inspected and found out the broken bolt at the lever, replaced it with another bolt"
Laparoscopic Tower,Wolf,Logic HD,"The telescope at the camera head was loose 
",Inspected and found out the camera head locking surclip was offset. Adjusted it to it's position
C-Arm Machine,Allengers,HF49R Mark IV,The device switched off frequently.,Inspected and found out the power cable top to be faulty. Replaced the 3-pin top and the machine restored to normal functionality.
OT Table,Jin Sol,NA,The bed tilting lever was tight,Sprayed WD-40 lubricant at the hinges and surfaces
 X-Ray Machine,AeroRad,NA,The hand switch did not work properly,Inspected and tested the hand switch to be working.
Patient Monitor,Edan,,The IBP cable is not showing Arterial data,Inspection and found out the Arterial line cable connection broken
Suction machine,Konsung,9A-26D,Compression does not turns on.,Found switch to be faulty and replaced the switch. Device fully functioning.
ECG Machine,Biolight,E70,Ecg lead II does not read.,Found LL electrode and other electrode connector loosen. Tightened the connection and tested the device to be working.
Laparoscopic Tower,Wolf,Logic HD,Snap on lock at the camera head is broken.,Contacted the vendor and replaced it with new one.
Scrub Station,Hanlim,HL-ASS9810,Device not operational and multiple system failures.,"Inspected and found leakage in the heater tank, missing solenoid valves, leakage current in the system, pump motor inoperative, broken wheels, a temperature sensor and filter cartridge."
USG Machine,Sonoscape,E2,Artifacts and a black line appears on the screen.,"Verified the probe to be damaged.
"
Endoscope,Fujifilm,XL-4450,Low air pressure comming from the endoscope.,Flushed the endoscope with warm water and syringe and verified the air pressure.
Hydrocollator,Meditek Electronics,,Device does not heat.,"Found out three channels on switch was damaged. Connected on one channel that was working. 
Verified the working of the device. "
Dental Chair,Confident,Mookambika,Hand piece Didn't respond,Performed Maintenance
Dental Chair,Confident,Mookambika,Hand piece produce maximum unwanted sound,Performed general maintenance
Centrifuge Machine,Gemmy,PLC-025,Start Button malfunctioning ,Checked and verified the connection was loose. Maintain the proper Connection and restored the machine to fully functioning.
Laparoscopic Tower,Maxer,Viron 3,"The device has reduced image quality and the screen flickers when the camera head is moved, cut or coagulated.","Inspected and found the camera head wire cover was torn off exposing earthing wires, causing screen flickers. The camera head can not be rewired."
HD Uretero-Renoscope,AMNOTEC,NA,User issue,Inspected and tested. Functionality confirmed to be optimal.
Syringe Pump,KellyMed,KL-605T,finish alarm malfunctioning,Perfomed Preventive maintenance and conducted preoperational test. Equipment functionality restored.
Laparoscopic Tower,Secure,4K,,Laparoscopic Video Processor received for demonstration.
Infusion pump,Kelly Med,ZNB-XAII,Rate Error,Performed callibration and machine restored to fully functional
Syringe Pump,Hawkmed,HK 400,VTB Error,Tested and verified wear and tear of pitch rod grasper teeth.
Dental Chair,Confident,Mookambika,Low suction,"Inspected and found out the suction pump needs to be replaced.
After replacing it, the machine has been restored to full functionality."
Dental chair,Confident,Mookambika,Endometer gear head malfunction,Inspected and found out the endometer gear head needs to be replaced.
Dental Chair,Confident,Mookambika,Not enough suction,Inspected and found out few suction spares need to be replaced
Syringe Pump ,Hawkmed,HK-400,Volume to be infused malfunctioning ,Perform calibration and machine restored to fully functioning 
Electro Surgical Unit,Covidien,Force FX,Bipolar foot switch failure,"Inspected and found the limit live wire was faulty so need to be replaced.
After replacing the wire, the foot control was restored to functionality."
Autoclave,N/A,,Error 5,Cleaned and performed overall maintenance of filling chamber
Infusion Pump,Hawkmed,HK 100II,VTB error,Inspected and found the peristaltic pump faulty.
Infusion Pump,Hawkmed,HK 100II,VTBI Error and door lock issue,Inspected and found the peristaltic pump faulty 
Anesthesia Machine,GE,9100c NXT,Oxygen Sensor caliberation failure,Solved caliberation problem and performed caliberation at 21% and 100%
Defibrillator,Mindray,BeneHeart D3,Error Alarm,"Inspected and found the paddle were not placed correctly. Performed pre operational test and performance test, machine restored to fully functioning."
Laryngoscope,NA,NA,Light malfunctioning ,Tighten the light bulb correctly.
Autoclave,NA,NA,Leakage was seen from the device,"Inspected and found out the gasket to be offset, aligned it accordingly"
Gynae Table,Jin Sol,NA,"Gynae table up and down mechanism malfunctioning. Remote control functional, but table movement unresponsive","Reset all the connections in main control board ,the table restored to fully functioning. "
Autoclave,NA,NA,The upper pressure chamber did not fill up,The Upper jacket valve was opened for the pressure flow
Holter ,,,Excessive interference in graphs reading,"Inspected and found the leads were open causing interference,  insulated all the leads wire."
Autoclave,NA,NA,The autoclave door was stuck and did not close properly,The stuck door was fixed and solved
Camera Head ,Wolf,Logic HD,Coupler was not holding scope properly ,"Inspected and found the Snap and lock pin broken, the coupler needs to be replaced"
 Autoclave,NA,NA,The device did not heat up,"Inspected and found out the set temperature was below the ambient temperature.
Set the temperature to 121°C and timer to 20minutes"
ABG Machine,Edan,i15,Sample cartirdge did not fit in the sample door,Inspected and found that the sample door knob was jammed
EEG Machine,Grass Technologies,AS40,EEG  graph showing artifacts ,"Inspected and verified that interferrence caused the artifacts.
EEG electrodes were tested using soda water and now it works perfectly."
Patient Monitor ,EDAN,X12,SPO2 sensor showed error reading.,Tested the connections and now it works perfectly.
Suction Machine,Jin Sol,JS-007,Low suction,"Inspected and found the suction bottle had cracks.
Replaced the suction bottle"
ECG Machine,HRP,HC8,Report was not being printed,"Inspected and found that the auto print was off.
Corrected the settings."
Electro Surgical Unit,Covidien,Force FX,Foot switch not working,"Inspected and found that the live wire was discontinuous.
Connected the wire externally."
ABG Machine,Edan,i15,Sample door valve jammed.,Repalced the door valve.
Nebulizer,Easy Care,ECN4378,Broken piston,Aligned the piston 
Anesthesia Machine,GE Healthcare,9100c NXT,Weekly test fail,Inspected and found fine oxidized particles in oxygen cell.  It was cleaned.
Centrifuge Machine,Remi,Neya-8,,Installed the machine
Otoscope,Luxamed,Auris,Flickring light,"Inspected and found that the battery was drained.
Replaced the battery"
Sphygmomanometer,Ross Max,N/A,pressure did not reach above 180mmHg,Zeroing was perfomed. Now it is fully functional.
Dental Chair,Confident,Mookambika,Not enough pressure regulating,Replaced water pressure regulator
Dental Chair,Confident,Mookambika,Water leakage in handpiece,Replaced water resistant valve
Stethoscope,N/A,N/A,Proper sound not heard from the diaphragm,Replaced the bell and diaphragm
Sphygmomanometer,Rossmax,NA,The pressure was offset,"Inspected and found out the pressure dial was offset, zeroed the dial"
Stethoscope,N/A,N/A,Sound not being heard properly,Tightened the tubing
Patient Monitor,Hwatime,H8,SPO2 probe not being detected,Inspected and found it was due to loose probe.Tightened the hinge.
Nebulizer,Dr.Morepen,CN10,No proper delivery of nebulization machine,Cleaned and reassembled the parts
C-Arm Machine,Kiran,Elite,,Completed installation
Infusion Pump,Hedy ,i7,"VTBI error, consistent air bubble alarm",Inspected and found that the air bubble sensor to be faulty.
Sphygmomanometer,Rossmax,N/A,Air release valve malfunctioning,Changed air release valve and perfomed zeroing
Anesthesia Machine,Penlon,Prima 320,Expired O2 sensor,Replaced O2 sensor
BiPAP Machine,Yamind,DM26-30T,Automatic pressure off,"Inspected and found the 'smart on' option was turned on. after turning it off, the machine works properly"
Analytical Balance,NA,NA,The device did not turn on,"Inspected and found out the wire to be broken, rewired and replaced the damaged capacitor"
Suction Machine,St. Francis Medical,ST-SU650,The device did not turn on,"Inspected and found out the switching wires damaged, rewired the connections"
Sphygmomanometer,Microlife,NA,The bulb was stuck when pressurised,Replaced the bulb and zeroed the pressure dial.
Nebulizer,Easy care,NA,The nebuliser did not create vapour,"Inspected and found out the tubings were clogged.
Cleaned and restored the functionality."
Infusion Pump,KellyMed,ZNB-XAII,Rate error,Replaced the peristaltic pump motor assembly
Nebulizer,Health Smart,CNB69008,Piston being detached due to wear of the shaft,Attached support to the shaft
Nebulizer,OneMed,CNB69009,Machine not being on while switching on,Loose connection of wire in the switch was made secure
Nebulizer,Rossmax,NE100,Broken out-tube,Screw was attached from underneath
Automated Blood Culture System,BD,Bactec FX40,The Alarm 24 A was persistent and screen was unresponsive,Inspected and found out the older scanned vial was put inside the compartment. Identified and removed the vial and restarted the system
Patient Monitor,Idottmed,IT12,SPO2 probe not reading.,Inspected and found out the SPO2 module faulty
Patient Monitor,Hwatime,H8,Test required for the functionality of the accessories and device,Tested of the functionality of the accessories and device
Patient Monitor,Hwatime,H8,Required test for ECG parameters,Tested parameters for ECG and NIBP
Laparoscopic Tower,Secure,4K,The device can not diffrentiate between the colour contrast of bile and blood,Inspected and found out the device has single chip CMOS.
Nebulizer,CompMist,CNB69009,Machine not being switched on,Inspected and found that the power cable was faulty. Changed the cable.
Nebulizer,OneMed,CNB69009,Low outflow and loose switch,The tubes were cleaned and the switch was replaced.
Endoscopic light source,Fujifilm,XL-4450,Expired lamp and Lamp error alarm, xenon lamp was replaced and resetting was performed
,HealthSmart,CNB69008,Short circuit in the power cable,Wires were replaced
TENS,N/A,N/A,Switch not working,Placement of switch was realigned
X-Ray Machine,Epsilon,EP-100,Device not exposing xray,Inspected and found that the double exposure switch was discontinuous and the wires were reattached.
Dental Chair,Confident,Mookambika,Slow rotation in micromotor ,Inspected and found that the carbon brushes were decayed. Replaced the carbon brushes
Dental Chair,Confident,Mookambika,GP cutter not being charged ,Inspected and found the charging points were not intact and those points were made intact.
Ventilator,Carefusion,Carefusion T-bird series,Motor fault,Cleaned the motor with blower
USG Machine,Sonoscape,E2,Adapter not charging the machine,Replaced board components in the adapter
Patient Monitor,Hwatime,H8,Inaccurate display of vital signs,Inspected the verified the patient monitors using patient monitor simulator
Patient Monitor,Hygeia,Eva-N,Inaccurate readings of vital signs,Inspected and verified the patient monitors using patient monitor simulator
Patient Monitor,Hwatime,H8,Inaccurate readings of vital signs,Inspected and verified the monitor using patient monitor simulator
Hydrocollator,N/A,N/A,Device not heating,Inspected and found out the connections were loose. Connections were made intact.
Infusion Pump,Kellymed,ZNB-XAII,Machine not being on and rate error,Charged the battery and tested multiple times. The machine is functional.
Infusion Pump,KellyMed,ZNB-XAII,Finish sign not being displayed and alarm not being buzzed at the end of the infusion.,Inspected and verified the machine to be working well and both the sign and alarm appeared at the end. Provided some guidance to the staffs about the proper use.
ECG Machine,Biolight,E70,Artifacts in the signal,Inspected and found that the placement of the lead adapter was loose. Tightened it and provided user guidance to the staffs.
Slit Lamp,Optel,N/A,Machine not being switched on.,Inspected and found that the switch to be loose and faulty. Replaced the switch.
 Autoclave,N/A,N/A,The PID controller unable to trigger the contractor and PID was unresponsive to any of the buttons.,Inspected and found the PID Controller to be damaged and the PID was replaced making necessary parameter setups.
C-Arm Machine,Kiran,Elite ,The machine was not being switched on.,Inspected and found the machine had loose connections from shocket.Connections were made secure.
C-Arm Machine,Allengers,HF49R,Machine not exposing xrays while using foot pedal.,"Upon inspection, the foot pedal's wire had broken.It was reconnected and the machine exposes xrays now."
Sphygmomanometer,Microlife,N/A,The cuff not being inflated and readings not on zero when not used.,The tube was found to have leaks and it was changed.Zeroing was also performed.
ECG Machine,Biolight,E70,V2 signal not being displayed,Inspected and found the screw to be broken and the port to be loosely connected to the board. Changed the screw and port connection was made intact.
Pulse Oximeter,Anobau,N/A,The machine had the problem with not being charged.,Machine was not being switched on.Upon inspection the battery was found to be drained.The connection of the charger to the machine was also found to be loose. Connection were made tight and the machine worked after being charged.
Dental Chair,Confident,Mookambika,Low airflow and water droplets with the air in both the 3-way syringes.,Inspected and found the syringes were beyond repair. Replaced with new ones.
Dental Chair,Confident,Mookambika,Low suction,Inspected and found that the filter to be clogged and loosely connected due to loosening of the O-ring. Cleaned the filter and the connection was made secure.
 X-Ray Machine,Epsilon,EP-100,Machine not exposing xrays,Inspected and found that the cable joining exposure switch to the machine was discontinuous. The connection was made continuous.
ECG Machine,Edan ,SE-3,Machine not printing ECG,Inspected and found that the roller's gear had worn off. Changed the roller.
Hematology Analyzer,Erba,Elite 580,Inaccurate readings,The sample probe was found to be blunt. Changed the sample probe.
Electrolyte Analyzer,Erba,Erbalyte Ca Plus,K value low and negative,Inspected and found the problem occured due to backflow of sample due to faulty pump tube. Replaced the pump tube.
Dental Chair,Confident,Mookambika,Chair backrest could not be controlled using footswitch,Inspected and found the wires to be disconnected. Reconnected the wires and properly aligned the switch.
Dental Chair,Confident,Mookambika,The Scaler did not work.,"The scaler had been made to function using foot switch. After checking the footswitch,the switch was found to be misaligned. After aligning the switch, the scaler functions on footswitch."
Patient Monitor,Hwatime,H8,SpO2 not being displayed,"Inspected and found that the SpO2 module is faulty.
Changed the SpO2 module and performed tests."
Patient Monitor,Hwatime,H8,Cuff type error being displayed while measuring blood pressure,Inspected and found the pipes had accumulated dust which was thoroughly cleaned and resetting was performed.
Sphygmomanometer,Rossmax,N/A,Inaccurate readings being displayed,"Upon observation, the indicator was found not to be in zero. So, zeroing was performed"
Sphygmomanometer,Microlife,N/A,The bulb was unable to be inflated.,Found that the cuff had been loose and had leakage. Changed the cuff.
Pulse Oximeter,N/A,N/A ,Device not showing the readings,"Inspected and found that the wire had been disconnected. After reconnecting the wire, the device is functional."
Pulse Oximeter,N/A,N/A,The device did not show readings,Inspected and found the ribbon to be discontinuous. Properly aligned the ribbon
TENS,B and B,N/A,Machine showed error message while starting therapy and was unable to provide electrical impulses.,"The discontinuous wires were reconnected back.
Resetting of the system was also performed."
Anti Decubitus Mattress Pump,N/A,N/A,The device was reported to be unable to inflate the mattress,All the accumulated dirt were cleaned and proper connection of the wires were made followed by testing. 
Patient Bed,N/A,N/A,The bed's upper portion was not responsive to both the patient side rail control panel and caregiver side rail control.,The bed's connection were checked thoroughly. The connections were reset.
Sphygmomanometer,N/A,N/A,The inflation bulb was damaged.,The bulb was replaced.
Nebulizer,Rossmax,,The machine was not delivering mist.,Inspected and found the air-in tube to be broken. It was replaced using syringe's cover which properly fitted the tube. 
Anesthesia Machine,GE Healthcare,Carestation 30,The equipment alarms for Low Oxygen.,Inspected and found out the ventilator's oxygen sensor expired. The sensor needs Replacement 
Blood Culture System,Becton Dickinson and Company,BD BACTEC FX40,The machine was not being switched on.,"Inspected and found the power cord connection was not proper. The connection was properly made, but the tablet did not turn on. The tablet's connection were also ensured to be proper and reset was done."
Dental Chair,Confident,Mookambika,Low suction,"The O-ring in the suction filter was found to be loose.The suction filter was cleaned and the tape was used to tighten the filter. Now , it provides acceptable suction."
Patient Monitor,Edan,X12,The BP cuff had leakage and the hose were damaged.,The hose and BP cuff were replaced.
Patient Monitor,Edan,X12,The ECG signal was not being displayed,The wires were found to be discontinuous and the insulator had worn off. The wires were made continuous and insulated properly. 
Fumigation Machine,N/A,N/A,"Device produced too much noise while rotating, and did not function as expected","
Inspected and found out the motor armature was broken which is beyond repair."
Anesthesia Machine,Penlon,Prima 320,"The ventilator failed to pass O2 sensor test, circuit compliance and leakage test.","Inspected O2 sensor and placed appropriately, and test circuits were also properly connected.
After this all the test passed."
ECG Machine,Edan,SE 1200 Express ,The ECG signal was not being displayed.,"The bulb electrodes were properly connected. Also the cable connecting electrodes to the machine was found to be loose, which was tightened. A test was performed which confirmed the full functionality of the device."
Electro Surgical Unit,LED Spa,,Installation and pre-test of the machine,"The machine was successfully installed and pre-operational tests were perfomed, followed by testing of both cut and coagulation modes and found the machine to be fully operational."
Patient Bed,N/A,N/A,The bed was not working on supplying AC.,"Inspected and found that the problem lied with the connection of the power cord to the bed which was made proper. Then, the bed works on electricity."
